function,address,instruction,src_regs(USE),dst_regs(DEF),indirect_call,indirect_jump,is_ret,indirect_type,indirect_severity,dfi_violation,violation_reason
__do_global_dtors_aux,0x24c8,ret,rsp,rsp,No,Yes,Yes,ret,high,OK,none
__do_global_dtors_aux,0x24c9,nopl 0x0(%rax),-,-,No,No,No,-,none,OK,none
frame_dummy,0x24d0,endbr64,-,-,No,No,No,-,none,OK,none
frame_dummy,0x24d4,jmp 2450 <register_tm_clones>,-,-,No,No,No,-,none,OK,none
target_a,0x24d9,endbr64,-,-,No,No,No,-,none,OK,none
target_a,0x24dd,push %rbp,rbp,rsp,No,No,No,-,none,OK,none
target_a,0x24de,"mov %rsp,%rbp",rsp,rbp,No,No,No,-,none,OK,none
target_a,0x24e1,"lea 0xb18(%rip),%rax",-,rax,No,No,No,-,none,OK,none
target_a,0x24e8,"mov %rax,%rdi",rax,rdi,No,No,No,-,none,OK,none
target_a,0x24eb,call 2260 <puts@plt>,-,rax,No,No,No,-,none,OK,none
target_a,0x24f0,nop,-,-,No,No,No,-,none,OK,none
target_a,0x24f1,pop %rbp,rsp,rbp,No,No,No,-,none,OK,none
target_a,0x24f2,ret,rsp,rsp,No,Yes,Yes,ret,high,OK,none
target_b,0x24f3,endbr64,-,-,No,No,No,-,none,OK,none
target_b,0x24f7,push %rbp,rbp,rsp,No,No,No,-,none,OK,none
target_b,0x24f8,"mov %rsp,%rbp",rsp,rbp,No,No,No,-,none,OK,none
target_b,0x24fb,"lea 0xb0a(%rip),%rax",-,rax,No,No,No,-,none,OK,none
target_b,0x2502,"mov %rax,%rdi",rax,rdi,No,No,No,-,none,OK,none
target_b,0x2505,call 2260 <puts@plt>,-,rax,No,No,No,-,none,OK,none
target_b,0x250a,nop,-,-,No,No,No,-,none,OK,none
target_b,0x250b,pop %rbp,rsp,rbp,No,No,No,-,none,OK,none
target_b,0x250c,ret,rsp,rsp,No,Yes,Yes,ret,high,OK,none
target_c,0x250d,endbr64,-,-,No,No,No,-,none,OK,none
target_c,0x2511,push %rbp,rbp,rsp,No,No,No,-,none,OK,none
target_c,0x2512,"mov %rsp,%rbp",rsp,rbp,No,No,No,-,none,OK,none
target_c,0x2515,"lea 0xafc(%rip),%rax",-,rax,No,No,No,-,none,OK,none
target_c,0x251c,"mov %rax,%rdi",rax,rdi,No,No,No,-,none,OK,none
