function,address,instruction,src_regs(USE),dst_regs(DEF),indirect_call,indirect_jump,is_ret,indirect_type,indirect_severity,dfi_violation,violation_reason
test_ifelse,0x12fd,"mov %rax,%rdi",rax,rdi,No,No,No,-,none,OK,none
test_ifelse,0x1300,call 10c0 <puts@plt>,-,rax,No,No,No,-,none,OK,none
test_ifelse,0x1305,nop,-,-,No,No,No,-,none,OK,none
test_ifelse,0x1306,leave,rbp,"rsp,rbp",No,No,No,-,none,OK,none
test_ifelse,0x1307,ret,rsp,rsp,No,Yes,Yes,ret,high,WARNING,"ret target rsp L1: defined at 0x1306 (leave); ret target rbp L2: defined at 0x12aa (mov %rsp,%rbp); ret target rsp L3: defined at 0x12a9 (push %rbp)"
test_switch,0x1308,endbr64,-,-,No,No,No,-,none,OK,none
test_switch,0x130c,push %rbp,rbp,rsp,No,No,No,-,none,OK,none
test_switch,0x130d,"mov %rsp,%rbp",rsp,rbp,No,No,No,-,none,OK,none
test_switch,0x1310,"sub $0x10,%rsp",rsp,"rsp,eflags",No,No,No,-,none,OK,none
test_switch,0x1314,"mov %edi,-0x4(%rbp)","rdi,rbp",-,No,No,No,-,none,OK,none
test_switch,0x1317,"cmpl $0x3,-0x4(%rbp)",rbp,eflags,No,No,No,-,none,OK,none
test_switch,0x131b,je 1353 <test_switch+0x4b>,eflags,-,No,No,No,-,none,OK,none
test_switch,0x131d,"cmpl $0x3,-0x4(%rbp)",rbp,eflags,No,No,No,-,none,OK,none
test_switch,0x1321,jg 1364 <test_switch+0x5c>,eflags,-,No,No,No,-,none,OK,none
test_switch,0x1323,"cmpl $0x1,-0x4(%rbp)",rbp,eflags,No,No,No,-,none,OK,none
test_switch,0x1327,je 1331 <test_switch+0x29>,eflags,-,No,No,No,-,none,OK,none
test_switch,0x1329,"cmpl $0x2,-0x4(%rbp)",rbp,eflags,No,No,No,-,none,OK,none
test_switch,0x132d,je 1342 <test_switch+0x3a>,eflags,-,No,No,No,-,none,OK,none
test_switch,0x132f,jmp 1364 <test_switch+0x5c>,-,-,No,No,No,-,none,OK,none
test_switch,0x1331,"lea 0xd7f(%rip),%rax",-,rax,No,No,No,-,none,OK,none
test_switch,0x1338,"mov %rax,%rdi",rax,rdi,No,No,No,-,none,OK,none
test_switch,0x133b,call 10c0 <puts@plt>,-,rax,No,No,No,-,none,OK,none
test_switch,0x1340,jmp 137e <test_switch+0x76>,-,-,No,No,No,-,none,OK,none
test_switch,0x1342,"lea 0xd7e(%rip),%rax",-,rax,No,No,No,-,none,OK,none
test_switch,0x1349,"mov %rax,%rdi",rax,rdi,No,No,No,-,none,OK,none
test_switch,0x134c,call 10c0 <puts@plt>,-,rax,No,No,No,-,none,OK,none
test_switch,0x1351,jmp 137e <test_switch+0x76>,-,-,No,No,No,-,none,OK,none
test_switch,0x1353,"lea 0xd7d(%rip),%rax",-,rax,No,No,No,-,none,OK,none
test_switch,0x135a,"mov %rax,%rdi",rax,rdi,No,No,No,-,none,OK,none
test_switch,0x135d,call 10c0 <puts@plt>,-,rax,No,No,No,-,none,OK,none
test_switch,0x1362,jmp 137e <test_switch+0x76>,-,-,No,No,No,-,none,OK,none
test_switch,0x1364,"mov -0x4(%rbp),%eax",rbp,rax,No,No,No,-,none,OK,none
test_switch,0x1367,"mov %eax,%esi",rax,rsi,No,No,No,-,none,OK,none
test_switch,0x1369,"lea 0xd77(%rip),%rax",-,rax,No,No,No,-,none,OK,none
test_switch,0x1370,"mov %rax,%rdi",rax,rdi,No,No,No,-,none,OK,none
test_switch,0x1373,"mov $0x0,%eax",-,rax,No,No,No,-,none,OK,none
test_switch,0x1378,call 10d0 <printf@plt>,-,rax,No,No,No,-,none,OK,none
test_switch,0x137d,nop,-,-,No,No,No,-,none,OK,none
test_switch,0x137e,nop,-,-,No,No,No,-,none,OK,none
test_switch,0x137f,leave,rbp,"rsp,rbp",No,No,No,-,none,OK,none
test_switch,0x1380,ret,rsp,rsp,No,Yes,Yes,ret,high,WARNING,"ret target rsp L1: defined at 0x137f (leave); ret target rbp L2: defined at 0x130d (mov %rsp,%rbp); ret target rsp L3: defined at 0x130c (push %rbp)"
